#Number,Rarity Rank,Rarity Percent
3787,266,0.00000000866283606245%
3887,267,0.00000000868754893522%
2266,268,0.00000000869118433454%
3890,269,0.00000000873570384662%
4491,270,0.00000000873752311112%
531,271,0.00000000874106995891%
4336,272,0.00000000875066224361%
1894,273,0.00000000876069808374%
4404,274,0.00000000881891945703%
3933,275,0.00000000884965493846%
4401,276,0.00000000889395417631%
3889,277,0.00000000890665162506%
4488,278,0.00000000891190353472%
4543,279,0.00000000892199417492%
3767,280,0.00000000894922054019%
4172,281,0.00000000895124342661%
3930,282,0.00000000896856970258%
4458,283,0.00000000899370827317%
4641,284,0.00000000901097428746%
4015,285,0.00000000906600142356%
4124,286,0.00000000908030369238%
3773,287,0.00000000909379574231%
3626,288,0.00000000910017065474%
4233,289,0.00000000911740986732%
4107,290,0.00000000911898874479%
4042,291,0.00000000914812100168%
4607,292,0.00000000918168528415%
2239,293,0.00000000922434481521%
3664,294,0.00000000923247933645%
4277,295,0.00000000926120580887%
794,296,0.00000000928350584931%
3643,297,0.00000000928487069145%
3566,298,0.00000000928552600653%
3575,299,0.00000000928556135350%
4663,300,0.00000000928749052372%
3542,301,0.00000000929535736656%
3986,302,0.00000000930531050796%
3865,303,0.00000000930608468951%
4343,304,0.00000000931192674902%
4687,305,0.00000000931747580375%
4678,306,0.00000000940799042595%
143,307,0.00000000942046602029%
3883,308,0.00000000942783291851%
4045,309,0.00000000944172397194%
104,310,0.00000000945695409495%
4334,311,0.00000000949471647861%
4225,312,0.00000000949948509819%
2599,313,0.00000000954881878664%
4406,314,0.00000000956236715546%
4075,315,0.00000000956808031703%
3506,316,0.00000000957926984307%
4151,317,0.00000000960142780397%
4206,318,0.00000000964546498866%
3614,319,0.00000000964939009048%
4630,320,0.00000000965006019482%
3671,321,0.00000000974407050068%
4448,322,0.00000000974649346803%
3991,323,0.00000000975097942241%
4165,324,0.00000000979725591223%
4311,325,0.00000000983760236440%
1674,326,0.00000000985506981347%
4061,327,0.00000000991763788254%
3980,328,0.00000000999226239898%
3770,329,0.00000000999268945070%
3567,330,0.00000001010405247372%
4150,331,0.00000001012046666662%
3691,332,0.00000001018800196721%
4110,333,0.00000001021399868375%
3836,334,0.00000001024216955169%
3734,335,0.00000001024483989927%
2367,336,0.00000001025960799562%
3525,337,0.00000001027251068771%
1043,338,0.00000001030363470969%
4223,339,0.00000001037286944179%
4614,340,0.00000001037362953978%
3739,341,0.00000001039595544866%
3718,342,0.00000001040747909871%
3601,343,0.00000001041201731862%
4113,344,0.00000001042032129516%
4212,345,0.00000001048920530367%
3630,346,0.00000001050184878463%
4648,347,0.00000001050266449196%
2774,348,0.00000001056504225144%
2376,349,0.00000001062149042840%
4282,350,0.00000001063181561050%
4106,351,0.00000001063434218265%
